_id,title,publisher,writers,price,page,image,isbn
64bd8c13429d7849d7d36517,Baş Belası İcatlar\nParlak Fikirlerin Karanlık Tarihi,SAY YAYINLARI,Robert Winston,"97,50",552,https://img.kitapyurdu.com/v1/getImage/fn:252248/wh:true/wi:800,9786050201642
64bd8c16429d7849d7d36518,Hidrojen ve Yakıt Pili Teknolojisi,UMUTTEPE YAYINLARI,"Prof. Dr. Durmuş Kaya, Prof. Dr. H. Hüseyin Öztürk, Doç. Dr. Muhammet Kayfeci","170,20",216,https://img.kitapyurdu.com/v1/getImage/fn:3216739/wh:true/wi:800,9786055100865
64bd8c1a429d7849d7d36519,Serdar Başkan ile Bilim Makinesi: 99 Soruda Hayat ve Bilim,HEP KİTAP,Serdar Aksu (Serdar Başkan),"76,00",260,https://img.kitapyurdu.com/v1/getImage/fn:7328951/wh:true/wi:800,9786051921914
64bd8c1c429d7849d7d3651a,Güncel ve Teknolojik Gelişmeler Işığında İnsan Kaynakları Yönetimi,NOBEL AKADEMİK YAYINCILIK,Kolektif,"152,10",354,https://img.kitapyurdu.com/v1/getImage/fn:11631904/wh:true/wi:800,9786254394355
64bd8c1f429d7849d7d3651b,Zeka Fetişizmine Karşı / Bilim ve Teknoloji / Yapay Zeka,YAR YAYINLARI,Prof. Dr Ulaş Başar Gezgin,"77,63",144,https://img.kitapyurdu.com/v1/getImage/fn:11331275/wh:true/wi:800,9786257136167
64bd8c22429d7849d7d3651c,Kim Korkar Schrödinger'in Kedisinden?\nA'dan Z'ye Yeni Bilimin Rehberi,AYRINTI YAYINLARI,"Danah Zohar, Ian Marshall","90,00",400,https://img.kitapyurdu.com/v1/getImage/fn:11303689/wh:true/wi:800,9786053144779
64bd8c25429d7849d7d3651d,Karma Yöntem Araştırmaları\nYöntembilimde Açıklığın Yükselişi,NOBEL AKADEMİK YAYINCILIK,Doç. Dr. Mehmet Fırat,"55,77",118,https://img.kitapyurdu.com/v1/getImage/fn:11586465/wh:true/wi:800,9786254174780
64bd8c28429d7849d7d3651e,Biyokimya,AKTİF YAYINEVİ-DERS KİTAPLARI,"Prof. Dr. İrfan Küfrevioğlu, Prof. Dr. Edip Keha","234,38",645,https://img.kitapyurdu.com/v1/getImage/fn:11303743/wh:true/wi:800,9789758986200
64bd8c2c429d7849d7d3651f,Yöneylem Araştırması (Nedensellik Üzerine Diyaloglar 1),BETA BASIM YAYIM,Tuncay Can,"66,90",760,https://img.kitapyurdu.com/v1/getImage/fn:1010309/wh:true/wi:800,9786053332251
64bd8c2f429d7849d7d36520,Evren Kaç Yaşında?,ALFA YAYINLARI,David A. Weintraub,"117,00",365,https://img.kitapyurdu.com/v1/getImage/fn:1130917/wh:true/wi:800,9786051712048
64bd8c33429d7849d7d36521,Fizik\nKullanım Kılavuzu,AYLAK KİTAP,Michael Brooks,"88,97",240,https://img.kitapyurdu.com/v1/getImage/fn:1415366/wh:true/wi:800,9786054972333
64bd8c36429d7849d7d36522,Eleştirel Bir Yaklaşımla Medeniyet ve İktisat,İNSAN YAYINLARI,Arif Özaydın,"94,93",272,https://img.kitapyurdu.com/v1/getImage/fn:11263047/wh:true/wi:800,9789755748979
64bd8c39429d7849d7d36523,"Peyzaj Mimarlığında (Planlama, Tasarım ve Peyzaj Bitkileri) Güncel Çalışmalar 2",GECE KİTAPLIĞI,"Prof.Dr. Murat Zencirkıran, Nilüfer Seyidoğlu Akdeniz","117,60",133,https://img.kitapyurdu.com/v1/getImage/fn:11593098/wh:true/wi:800,9786254302589
64bd8c3d429d7849d7d36524,Jamovi ile Kolay İstatistik,NOBEL AKADEMİK YAYINCILIK,Kolektif,"101,40",218,https://img.kitapyurdu.com/v1/getImage/fn:11615789/wh:true/wi:800,9786254399558
64bd8c40429d7849d7d36525,Sosyal Bilimleri Yeniden Düşünmek,METİS YAYINLARI,,"128,47",352,https://img.kitapyurdu.com/v1/getImage/fn:11291331/wh:true/wi:800,9789753422222
64bd8c44429d7849d7d36526,Modern Beynin Evrimi / E-Beyin,OMEGA YAYINLARI,"Dr. Gary Small, Gigi Vorgan","78,00",272,https://img.kitapyurdu.com/v1/getImage/fn:15563/wh:true/wi:800,9789754688115
64bd8c47429d7849d7d36527,Gıda Kalite Kontrolünün Esasları ve Gıda Güvenliği Yönetim Sistemleri,DORA YAYINLARI,Prof. Dr. Fikri Başoğlu,"136,00",252,https://img.kitapyurdu.com/v1/getImage/fn:34675/wh:true/wi:800,9786059666374
64bd8c4a429d7849d7d36528,Moleküller Nasıl Bir Arada Kalır? / Küçük Kimyagerler İçin Rehber,ERDEM ÇOCUK YAYINLARI,Madeline J. Hayes,"30,94",48,https://img.kitapyurdu.com/v1/getImage/fn:11384749/wh:true/wi:800,9786052791899
64bd8c51429d7849d7d36529,Kurantum Fizik,KİTAPYURDU DOĞRUDAN YAYINCILIK (KDY),Yavuz Özmen,"73,10",166,https://img.kitapyurdu.com/v1/getImage/fn:11284937/wh:true/wi:800,9786257777711
64bd8c55429d7849d7d3652a,Mplus ile Çok Düzeyli Modelleme Uygulamaları,NOBEL AKADEMİK YAYINCILIK,Doç. Dr. Sedat Şen,"186,55",458,https://img.kitapyurdu.com/v1/getImage/fn:11627161/wh:true/wi:800,9786254271984
