"_id,title,publisher,writers,price,page,image,isbn";
"64bd2be459faae5ec995c2b6,Dakikalar İçinde Antik Dünya,kronik kitap,Charles Phillips,""37,20"",416,https://asset.kitapsepeti.com/dakikalar-icinde-antik-dunya-352820-24-O.jpg,9786258431360";
"64bd2be759faae5ec995c2b7,Acelesi Olanlar İçin Astrofizik,nova kitap,Neil DeGrasse Tyson,""42,25"",168,https://asset.kitapsepeti.com/acelesi-olanlar-icin-astrofizik-802001-41-O.jpg,9786258489736";
"64bd2bea59faae5ec995c2b8,Çıplak İstatistik,buzdağı yayınevi,Charles Wheelan,""164,15"",400,https://asset.kitapsepeti.com/ciplak-istatistik-288743-24-O.jpg,9786058213258";
"64bd2bed59faae5ec995c2b9,Ezbere Yaşayanlar,kronik kitap,Emrah Safa Gürkan,""49,60"",400,https://asset.kitapsepeti.com/ezbere-yasayanlar-191386-23-O.jpg,9786258431131";
"64bd2bf059faae5ec995c2ba,Neufert - Yapı Tasarımı,beta yayınevi,Ernst Neufert,""450,18"",608,https://asset.kitapsepeti.com/neufert-yapi-tasarimi-193210-12-O.jpg,9786052427163";
"64bd2bf359faae5ec995c2bb,Karanlık Bir Dünyada Bilimin Mum Işığı,say yayınları,Carl Sagan,""150,00"",672,https://asset.kitapsepeti.com/karanlik-bir-dunyada-bilimin-mum-isigi-217834-56-O.jpg,9786050207743";
"64bd2bf659faae5ec995c2bc,Yeni Dünyanın Cesur İnsanı,tuti kitap,Sinan Canan,""90,45"",176,https://asset.kitapsepeti.com/yeni-dunyanin-cesur-insani-184934-22-O.jpg,9786059218955";
"64bd2bf959faae5ec995c2bd,Bilimin Büyüsü,i̇nkılap kitabevi,A. M. Celal Şengör,""37,52"",160,https://asset.kitapsepeti.com/bilimin-buyusu-294760-14-O.jpg,9789751039422";
"64bd2bfc59faae5ec995c2be,Beyin,domingo yayınevi,David Eagleman,""79,06"",272,https://asset.kitapsepeti.com/beyin-108264-171658-10-O.jpg,9786054729692";
"64bd2bff59faae5ec995c2bf,Değişen Beynim,tuti kitap,Sinan Canan,""107,20"",346,https://asset.kitapsepeti.com/degisen-beynim-241747-10-O.jpg,9786059218085";
"64bd2c0259faae5ec995c2c0,Günlük Ritüeller,kolektif kitap,Mason Currey,""60,30"",240,https://asset.kitapsepeti.com/gunluk-ritueller-170959-94-O.jpg,9786055029067";
"64bd2c0559faae5ec995c2c1,Geleceğin Fiziği,odtü geliştirme vakfı yayıncılık,Michio Kaku,""106,64"",454,https://asset.kitapsepeti.com/gelecegin-fizigi-236815-89-O.jpg,9786059856188";
"64bd2c0859faae5ec995c2c2,Hiperuzay,odtü geliştirme vakfı yayıncılık,Michio Kaku,""80,60"",464,https://asset.kitapsepeti.com/hiperuzay-249863-41-O.jpg,9786057744326";
"64bd2c0b59faae5ec995c2c3,İçimizdeki Balık,avantür kitap,Neil Shubin,""111,60"",288,https://asset.kitapsepeti.com/icimizdeki-balik-807921-42-O.jpg,9786050671063";
"64bd2c0e59faae5ec995c2c4,Tanrı İnsan Hayvan Makine,altın kitaplar,Meghan ogıeblyn,""72,00"",288,https://asset.kitapsepeti.com/tanri-insan-hayvan-makine-793311-41-O.jpg,9789752128033";
"64bd2c1159faae5ec995c2c5,""Tüfek, Mikrop ve Çelik Üçlemesi Kutulu Özel Set 3 Kitap"",pegasus yayınları,Jared Diamond,""357,50"",1984,https://asset.kitapsepeti.com/tufek-mikrop-ve-celik-uclemesi-kutulu-ozel-set-3-kitap-375041-33-O.jpg,9786052997659";
"64bd2c1459faae5ec995c2c6,Dakikalar İçinde Din - Dünyanın Köklü İnançlarına Dair 200 Temel Kavram,kronik kitap,Marcus Weeks,""37,20"",416,https://asset.kitapsepeti.com/dakikalar-icinde-din-dunyanin-koklu-inanclarina-dair-200-temel-kavram-370332-24-O.jpg,9786258431391";
"64bd2c1759faae5ec995c2c7,Kara Delikler,alfa yayınları,Stephen Hawking,""42,25"",75,https://asset.kitapsepeti.com/kara-delikler-531415-20-O.jpg,9786051715513";
"64bd2c1959faae5ec995c2c8,Türlerin Kökeni,alfa yayınları,Charles Darwin,""126,75"",504,https://asset.kitapsepeti.com/turlerin-kokeni-146983-800882-14-O.jpg,9786051715308";
"64bd2c1d59faae5ec995c2c9,Zihnin Geleceği,odtü geliştirme vakfı yayıncılık,Michio Kaku,""77,50"",431,https://asset.kitapsepeti.com/zihnin-gelecegi-330021-13-O.jpg,9786059856119";
"64bd2c1f59faae5ec995c2ca,Trigonometri Matematik,apotemi yayınları,Barış Şahbaz,""114,75"",224,https://asset.kitapsepeti.com/trigonometri-matematik-375853-33-O.jpg,9786057551689";
"64bd2c2259faae5ec995c2cb,Doğadaki Son Çocuk,tübi̇tak yayınları,Richard Louv,""18,70"",447,https://asset.kitapsepeti.com/dogadaki-son-cocuk-413696-28-O.jpg,9789754035124";
"64bd2c2659faae5ec995c2cc,Beyin Sizsiniz 5 Kitap Set,girdap kitap,İsmail Hakkı Aydın,""425,10"",1895,https://asset.kitapsepeti.com/beyin-sizsiniz-5-kitap-set-197729-23-O.jpg,9786057113825";
"64bd2c2959faae5ec995c2cd,Epigenetik - Deneyimler Kalıtımla Nasıl Aktarılır?,say yayınları,Bernhard Kegel,""112,50"",384,https://asset.kitapsepeti.com/epigenetik-deneyimler-kalitimla-nasil-aktarilir-186998-22-O.jpg,9786050208764";
"64bd2c2c59faae5ec995c2ce,Büyük Sorulara Kısa Yanıtlar,alfa yayınları,Stephen Hawking,""61,75"",200,https://asset.kitapsepeti.com/buyuk-sorulara-kisa-yanitlar-720960-19-O.jpg,9786051719092";
"64bd2c2f59faae5ec995c2cf,Evrenin Karanlığında Evrimin Işığı,ginko kitap,Kolektif,""185,00"",616,https://asset.kitapsepeti.com/evrenin-karanliginda-evrimin-isigi-286119-14-O.jpg,9786058111110";
"64bd2c3259faae5ec995c2d0,Beynin Evrimi ve Tanrıların Ortaya Çıkışı,paloma yayınevi,E. Fuller Torrey,""84,42"",316,https://asset.kitapsepeti.com/beynin-evrimi-ve-tanrilarin-ortaya-cikisi-306085-14-O.jpg,9786059200448";
"64bd2c3559faae5ec995c2d1,Doğanın Anatomisi,odtü geliştirme vakfı yayıncılık,Julia Rothman,""145,70"",224,https://asset.kitapsepeti.com/doganin-anatomisi-493643-14-O.jpg,9786059856522";
"64bd2c3959faae5ec995c2d2,Galaktik Diplomasi,destek yayınları,Erhan Kolbaşı,""78,00"",392,https://asset.kitapsepeti.com/galaktik-diplomasi-293381-11-O.jpg,9786053111696";
"64bd2c3c59faae5ec995c2d3,İFA: İnsanın Fabrika Ayarları 2. Kitap - İlişkiler ve Stres,tuti kitap,Sinan Canan,""90,45"",192,https://asset.kitapsepeti.com/ifa-insanin-fabrika-ayarlari-2-kitap-iliskiler-ve-stres-285276-79-O.jpg,9786059218627";
"64bd2c3f59faae5ec995c2d4,Geometri,i̇ş bankası kültür yayınları,Mustafa Kemal Atatürk,""13,40"",68,https://asset.kitapsepeti.com/geometri-22602-184668-22-O.png,9786254050428";
"64bd2c4c59faae5ec995c2d5,Sırrın Fiziği,cinius yayınları,Neşe Akan,""151,90"",350,https://asset.kitapsepeti.com/sirrin-fizigi-314723-17-O.jpg,9786257335959";
"64bd2c5059faae5ec995c2d6,Yapay Zeka İle Sohbetler,hiperlink yayınları,Ayhan Bozkurt,""129,60"",198,https://asset.kitapsepeti.com/yapay-zeka-ile-sohbetler-814209-42-O.jpg,9786258244939";
"64bd2c5459faae5ec995c2d7,Yapay Zeka 2041,optimist kitap,Kai-Fu Lee,""134,00"",504,https://asset.kitapsepeti.com/yapay-zeka-2041-798221-41-O.jpg,9786254343469";
"64bd2c5859faae5ec995c2d8,Saklı Dünya,domingo yayınevi,Merlin Sheldrake,""79,06"",384,https://asset.kitapsepeti.com/sakli-dunya-360581-462594-36-O.jpg,9786051982342";
